序号,日语词汇,假名,词性,陌生程度,翻译,
1,愛想,あいそう,名詞,9,好感，热情，亲切,
2,相互,そうご,名詞,9,相互,
3,互い,たがい,名詞,9,互相，彼此,
4,好意,こうい,名詞,9,好意，善意,
5,間柄,あいだがら,名詞,9,关系，交情，亲属关系,
6,人柄,ひとがら,名詞,9,人品，品格,
7,花柄,はながら,名詞,9,花纹,
8,大柄,おおがら,名詞/形容動詞,9,身材高大魁梧，大花纹,
9,小柄,こがら,名詞/形容動詞,9,身材矮小，小碎花纹,
10,横柄,おうへい,形容動詞,1次,傲慢，狂妄，目中无人,
11,取り柄,とりえ,名詞,1次,优点，长处,
12,利点,りてん,名詞,9,优点，长处,
13,メリット,めりっと,名詞,9,优点，处，好处,
14,長所,ちょうしょ,名詞,9,长处,
15,美点,びてん,名詞,9,优点,
16,強み,つよみ,名詞,9,强项，优势,
17,アドバンテージ,あどばんてーじ,名詞,9,优势,
18,あえて,あえて,副詞,1次,敢于，硬要；未必，不一定；特意，特别,
19,強いて,しいて,副詞,9,勉强，硬要，强迫,強いる（しいる）：强迫，强制
20,忠告,ちゅうこく,名詞/サ変,9,忠告,
21,告訴,こくそ,名詞/サ変,1次,起诉，控告,
22,訴訟,そしょう,名詞/サ変,1次,诉讼，法律诉讼,
23,悪どい,あくどい,形容詞,9,毒辣，恶劣；过分，花哨,
24,卑劣,ひれつ,形容動詞,9,卑劣,
25,ずるい,ずるい,形容詞,9,狡猾,
26,えげつない,えげつない,形容詞,2次,手段露骨，毫不留情,
27,汚い,きたない,形容詞,1次,手段不光彩，肮脏,
28,強欲,ごうよく,形容動詞,1次,贪婪，欲望强,
29,浅ましい,あさましい,形容詞,9,卑鄙的；可耻的；低劣的；悲惨的；可怜的,
30,遺産,いさん,名詞,9,遗产,
31,遺言,ゆいごん,名詞/サ変,9,遗言,
32,浅い,あさい,形容詞,9,浅的,
33,厚かましい,あつかましい,形容詞,9,厚颜无耻的,図太い（ずぶとい）
34,図々しい,ずうずうしい,形容詞,9,脸皮厚的,
35,恥知らず,はじしらず,名詞/形容動詞,9,不知羞耻,
36,欺く,あざむく,他動詞,9,欺骗，蒙骗,
37,退却,たいきゃく,名詞/サ変,1次,后退，退后,
38,詐欺,さぎ,名詞,9,欺诈，诈骗,
39,騙す,だます,他動詞,9,欺骗，蒙骗，哄骗,
40,脚本,きゃくほん,名詞,9,剧本，台本,
41,映画の脚本を書く,えいがのきゃくほんをかく,短句/動詞句,9,写电影剧本,
